palabra,frecuencia
food,9
junkfood,8
junk,6
health,5
foods,4
fats,4
eat,4
body,4
weight,3
sugar,3
ready,3
high,3
healthy,3
harmful,3
great,3
good,3
dangerous,3
amounts,3
way,2
term,2
tastes,2
taste,2
result,2
people,2
like,2
however,2
gain,2
fries,2
french,2
examples,2
effects,2
eating,2
easy,2
cook,2
consume,2
cold,2
chips,2
calories,2
burgers,2
amount,2
willingly,1
various,1
variety,1
value,1
unhealthy,1
trend,1
towards,1
tht,1
ths,1
think,1
therefore,1
studies,1
still,1
stay,1
spread,1
source,1
slowly,1
show,1
serious,1
rings,1
results,1
research,1
requires,1
reasons,1
reason,1
rapidly,1
problem,1
pressure,1
present,1
positive,1
popularity,1
points,1
pleasure,1
pizza,1
parents,1
oneâs,1
one,1
often,1
obesity,1
nutritional,1
nutrients,1
nowadays,1
noodles,1
negatively,1
need,1
must,1
much,1
moving,1
mouth,1
may,1
marketed,1
market,1
makes,1
main,1
low,1
looks,1
long,1
limited,1
levels,1
less,1
lack,1
kurkure,1
kidney,1
irrespective,1
instance,1
increased,1
increase,1
importantly,1
impacts,1
impact,1
illnesses,1
ill,1
higher,1
hassle,1
groups,1
grab,1
gives,1
generation,1
gaining,1
fulfilled,1
free,1
fr,1
found,1
fit,1
fibers,1
fatal,1
failure,1
extend,1
ever,1
eated,1
easiest,1
drinks,1
discourage,1
dietary,1
diabetes,1
denotes,1
daily,1
cookies,1
contrary,1
contain,1
consumption,1
consuming,1
cholesterol,1
children,1
candy,1
bodies,1
blood,1
basis,1
away,1
awareness,1
available,1
ate,1
age,1
